Available Service Bays,Service_Department,Workshop_Code,Technician_Name,Technicians_Available,ClientID,Client_Age,Gender,Service_Type,Vehicle_Condition,Main_Issue,Previous_Visits,Warranty,Repair_Cost,Stay (in Days)
2,Mecánica,C,Ana,3,10000,26-35,Male,Mantenimiento,Severa,Suspensión,6,Yes,503.1,19
4,Mecánica,E,Ana,11,10001,66+,Female,Reparación,Menor,Eléctrico,9,No,9741.75,1
3,Electricidad,C,Luis,2,10002,26-35,Female,Mantenimiento,Menor,Frenos,6,Yes,4403.91,6
5,Mecánica,D,José,1,10003,46-55,Male,Colisión,Moderada,,9,No,6991.62,6
2,Mecánica,B,Luis,1,10004,26-35,Male,Diagnóstico,Severa,Transmisión,7,No,2077.45,18
4,Diagnóstico,A,José,10,10005,26-35,Male,Reparación,Moderada,Eléctrico,6,No,11875.85,7
4,Diagnóstico,A,Ana,0,10006,36-45,Female,Colisión,Severa,Frenos,3,No,2669.62,19
7,Electricidad,B,Luis,2,10007,26-35,Female,Diagnóstico,Moderada,Suspensión,6,No,2748.95,6
8,Mecánica,A,Carlos,2,10008,66+,Male,Diagnóstico,Menor,Suspensión,1,No,4672.19,4
5,Mecánica,A,Sofía,8,10009,36-45,Female,Mantenimiento,Moderada,Transmisión,6,Yes,5526.63,5
5,Pintura,E,Carlos,10,10010,36-45,Male,Reparación,Severa,Transmisión,2,Yes,7247.49,20
1,Mecánica,C,Luis,3,10011,18-25,Male,Mantenimiento,Moderada,Frenos,7,Yes,11739.12,11
3,Pintura,D,José,2,10012,36-45,Female,Reparación,Severa,Suspensión,3,No,4878.06,12
6,Electricidad,E,María,1,10013,26-35,Male,Mantenimiento,Severa,Transmisión,0,Yes,7123.02,12
2,Mecánica,B,Carlos,0,10014,36-45,Male,Reparación,Menor,Transmisión,10,No,2688.71,5
8,Pintura,D,María,3,10015,18-25,Male,Diagnóstico,Menor,Transmisión,6,No,5684.24,3
1,Mecánica,A,María,11,10016,36-45,Male,Reparación,Severa,Motor,3,No,1811.16,14
5,Electricidad,B,Carlos,7,10017,56-65,Male,Mantenimiento,Menor,,8,Yes,11632.61,3
3,Electricidad,D,María,3,10018,46-55,Male,Reparación,Menor,Eléctrico,0,No,3292.66,3
5,Electricidad,E,Sofía,11,10019,46-55,Male,Reparación,Moderada,Transmisión,3,Yes,7013.29,11
1,Diagnóstico,A,Carlos,9,10020,46-55,Male,Mantenimiento,Severa,Suspensión,1,Yes,961.98,13
4,Electricidad,A,José,3,10021,56-65,Male,Mantenimiento,Menor,Eléctrico,10,No,11226.27,3
6,Pintura,C,María,2,10022,66+,Female,Diagnóstico,Menor,Transmisión,1,Yes,5580.68,7
2,Mecánica,E,Ana,8,10023,36-45,Male,Colisión,Severa,Frenos,3,No,3527.1,21
5,Mecánica,E,Luis,10,10024,18-25,Male,Colisión,Moderada,Frenos,1,Yes,3377.33,11
4,Diagnóstico,B,Sofía,10,10025,36-45,Female,Colisión,Severa,Frenos,1,No,9977.77,15
1,Diagnóstico,B,Sofía,4,10026,26-35,Female,Diagnóstico,Menor,Suspensión,0,Yes,1041.64,6
3,Mecánica,C,José,8,10027,26-35,Female,Reparación,Severa,Frenos,4,No,10802.93,8
6,Pintura,B,Sofía,1,10028,36-45,Female,Reparación,Menor,Motor,2,Yes,10594.78,4
3,Diagnóstico,D,Sofía,11,10029,26-35,Female,Reparación,Menor,,1,No,10485.18,2
4,Pintura,D,Luis,4,10030,26-35,Male,Mantenimiento,Moderada,,3,No,4039.9,4
5,Diagnóstico,E,María,10,10031,56-65,Female,Mantenimiento,Menor,Frenos,4,Yes,7029.99,6
1,Mecánica,E,María,5,10032,66+,Female,Diagnóstico,Moderada,Suspensión,8,Yes,4714.57,7
4,Diagnóstico,A,Sofía,6,10033,18-25,Male,Colisión,Severa,Eléctrico,1,No,7534.39,16
2,Diagnóstico,E,Luis,10,10034,46-55,Female,Diagnóstico,Severa,,4,Yes,2423.31,17
7,Pintura,E,José,4,10035,46-55,Male,Colisión,Severa,Transmisión,3,No,9461.24,22
6,Electricidad,D,María,10,10036,26-35,Female,Reparación,Severa,,1,No,6258.11,23
6,Mecánica,B,Sofía,4,10037,26-35,Male,Reparación,Severa,Frenos,0,Yes,11809.64,12
2,Electricidad,D,Sofía,9,10038,26-35,Female,Diagnóstico,Severa,Eléctrico,3,Yes,7924.29,17
2,Electricidad,B,Ana,12,10039,66+,Female,Mantenimiento,Menor,Suspensión,3,Yes,5559.07,7
6,Electricidad,E,Sofía,8,10040,46-55,Female,Reparación,Moderada,,7,No,3221.42,4
5,Electricidad,B,Luis,7,10041,18-25,Female,Reparación,Menor,Transmisión,5,No,10732.37,4
3,Pintura,B,María,11,10042,26-35,Male,Mantenimiento,Menor,Eléctrico,6,No,6579.94,5
1,Pintura,D,María,12,10043,56-65,Male,Diagnóstico,Moderada,Eléctrico,0,No,3688.56,7
7,Pintura,D,Ana,4,10044,46-55,Female,Mantenimiento,Moderada,Eléctrico,5,No,8731.55,3
3,Mecánica,D,José,9,10045,66+,Male,Mantenimiento,Moderada,,6,Yes,10422.19,3
1,Diagnóstico,D,Luis,3,10046,46-55,Female,Colisión,Menor,Eléctrico,4,No,3139.42,4
8,Mecánica,E,Carlos,5,10047,26-35,Male,Mantenimiento,Menor,Frenos,3,Yes,10094.86,5
3,Pintura,B,María,10,10048,18-25,Male,Diagnóstico,Severa,,4,No,2138.3,13
2,Pintura,C,Carlos,9,10049,18-25,Female,Diagnóstico,Severa,Eléctrico,3,Yes,7166.36,24
4,Mecánica,C,Sofía,9,10050,18-25,Male,Colisión,Severa,Suspensión,6,No,967.14,16
6,Mecánica,D,María,1,10051,46-55,Female,Diagnóstico,Severa,,2,No,2237.22,23
5,Electricidad,D,María,11,10052,56-65,Female,Colisión,Severa,Motor,1,No,10597.33,12
8,Electricidad,C,Carlos,7,10053,36-45,Male,Diagnóstico,Menor,Motor,5,No,4183.02,4
5,Mecánica,E,Ana,1,10054,26-35,Female,Diagnóstico,Severa,Suspensión,3,No,7803.95,14
8,Mecánica,A,Luis,3,10055,46-55,Male,Colisión,Moderada,,9,No,5758.14,8
6,Electricidad,E,Luis,5,10056,66+,Female,Colisión,Severa,Transmisión,4,Yes,1579.77,16
6,Mecánica,E,Sofía,2,10057,26-35,Male,Diagnóstico,Menor,Transmisión,9,No,11769.05,3
5,Pintura,C,Ana,4,10058,18-25,Male,Colisión,Menor,Frenos,0,No,8414.4,2
8,Mecánica,A,José,4,10059,46-55,Female,Diagnóstico,Menor,Transmisión,2,Yes,3141.87,3
2,Mecánica,D,María,1,10060,56-65,Male,Reparación,Moderada,Motor,9,No,1159.39,6
2,Electricidad,E,José,12,10061,56-65,Male,Diagnóstico,Menor,Eléctrico,7,No,10342.97,3
5,Mecánica,E,Sofía,1,10062,26-35,Male,Colisión,Moderada,,1,Yes,2992.4,6
2,Pintura,A,María,7,10063,66+,Female,Colisión,Severa,Frenos,3,No,8527.43,15
8,Mecánica,B,Luis,12,10064,66+,Male,Diagnóstico,Severa,Frenos,8,Yes,7824.47,19
3,Mecánica,A,Ana,12,10065,36-45,Female,Diagnóstico,Moderada,Frenos,7,No,8441.84,8
8,Electricidad,A,José,0,10066,46-55,Female,Colisión,Moderada,Frenos,1,Yes,11548.65,8
1,Diagnóstico,E,Carlos,12,10067,26-35,Female,Diagnóstico,Severa,Transmisión,2,No,7672.2,19
2,Electricidad,C,María,5,10068,36-45,Male,Reparación,Moderada,Transmisión,6,No,3565.38,11
1,Electricidad,A,Luis,4,10069,36-45,Male,Diagnóstico,Moderada,Suspensión,0,No,5046.98,8
6,Electricidad,D,Carlos,3,10070,36-45,Male,Colisión,Menor,Eléctrico,7,Yes,492.1,5
4,Pintura,C,José,0,10071,56-65,Female,Mantenimiento,Severa,Motor,1,No,11372.67,21
3,Electricidad,C,José,11,10072,36-45,Female,Diagnóstico,Severa,Eléctrico,3,No,6682.49,21
4,Pintura,A,Luis,12,10073,46-55,Female,Colisión,Moderada,Frenos,4,No,10074.09,8
8,Pintura,D,José,7,10074,36-45,Female,Diagnóstico,Severa,Eléctrico,5,Yes,11772.18,19
7,Pintura,D,Carlos,5,10075,66+,Female,Diagnóstico,Menor,Eléctrico,10,Yes,6019.64,3
3,Diagnóstico,A,María,1,10076,56-65,Female,Mantenimiento,Menor,,2,No,10470.56,4
2,Electricidad,C,Luis,9,10077,66+,Female,Mantenimiento,Menor,Transmisión,10,No,11456.55,7
8,Mecánica,E,Carlos,3,10078,66+,Female,Reparación,Severa,,1,No,11743.3,13
2,Electricidad,B,Sofía,4,10079,18-25,Male,Colisión,Severa,Frenos,4,No,4591.87,15
4,Electricidad,E,Sofía,12,10080,26-35,Male,Reparación,Menor,Frenos,9,No,7493.57,4
8,Pintura,B,María,10,10081,36-45,Female,Colisión,Menor,,0,No,10829.33,1
3,Mecánica,D,Luis,9,10082,36-45,Female,Colisión,Severa,Eléctrico,4,Yes,11992.58,12
2,Pintura,D,José,5,10083,56-65,Female,Colisión,Moderada,Frenos,10,No,3402.59,6
1,Electricidad,C,Ana,9,10084,36-45,Male,Reparación,Severa,Suspensión,4,Yes,7594.74,11
1,Diagnóstico,D,Carlos,9,10085,36-45,Male,Mantenimiento,Severa,Transmisión,5,No,2231.33,13
6,Diagnóstico,B,Luis,7,10086,36-45,Female,Mantenimiento,Menor,Eléctrico,1,Yes,9086.7,3
7,Diagnóstico,A,María,0,10087,36-45,Male,Diagnóstico,Menor,Transmisión,10,No,7077.04,3
6,Mecánica,B,María,0,10088,56-65,Female,Reparación,Severa,,1,No,10926.24,13
7,Mecánica,B,Carlos,0,10089,36-45,Female,Mantenimiento,Moderada,Frenos,3,Yes,4755.45,5
7,Pintura,D,Sofía,1,10090,46-55,Female,Colisión,Moderada,Frenos,5,Yes,5404.09,10
6,Mecánica,C,José,10,10091,36-45,Male,Diagnóstico,Menor,Transmisión,3,Yes,11395.78,5
2,Pintura,E,Carlos,0,10092,36-45,Male,Reparación,Moderada,Suspensión,3,Yes,9983.34,11
4,Pintura,B,Luis,12,10093,26-35,Male,Colisión,Severa,Motor,2,No,9612.39,11
1,Pintura,A,Luis,12,10094,26-35,Female,Mantenimiento,Menor,Motor,4,Yes,1652.09,3
2,Mecánica,D,María,12,10095,36-45,Male,Diagnóstico,Moderada,Suspensión,3,Yes,8767.83,11
5,Electricidad,A,Carlos,7,10096,46-55,Female,Mantenimiento,Severa,Eléctrico,7,Yes,10806.31,12
3,Mecánica,B,Luis,9,10097,66+,Female,Diagnóstico,Moderada,Suspensión,8,No,5526.53,11
7,Mecánica,A,Sofía,10,10098,56-65,Male,Diagnóstico,Severa,Eléctrico,3,No,4166.34,20
7,Electricidad,A,Luis,6,10099,36-45,Female,Colisión,Moderada,Motor,10,No,945.53,8
2,Electricidad,A,Sofía,11,10100,36-45,Male,Mantenimiento,Menor,Suspensión,8,No,8089.66,5
6,Electricidad,A,Luis,9,10101,36-45,Female,Mantenimiento,Moderada,Suspensión,8,Yes,1983.55,9
4,Mecánica,C,José,5,10102,18-25,Female,Reparación,Moderada,Eléctrico,8,Yes,7366.59,10
5,Mecánica,B,Luis,11,10103,36-45,Female,Colisión,Severa,Frenos,2,Yes,6860.9,22
2,Pintura,A,Carlos,11,10104,56-65,Male,Diagnóstico,Moderada,Eléctrico,7,No,2015.3,11
6,Mecánica,A,Ana,2,10105,56-65,Male,Mantenimiento,Moderada,Transmisión,7,No,5905.09,7
7,Diagnóstico,B,José,1,10106,36-45,Female,Mantenimiento,Moderada,Transmisión,10,No,6394.17,5
1,Pintura,D,José,0,10107,18-25,Male,Colisión,Moderada,Motor,2,No,3579.95,5
1,Electricidad,D,Ana,2,10108,46-55,Male,Colisión,Menor,Frenos,6,Yes,5319.2,5
2,Diagnóstico,E,María,9,10109,46-55,Female,Colisión,Moderada,Frenos,6,Yes,11599.47,7
8,Diagnóstico,A,María,1,10110,26-35,Female,Diagnóstico,Menor,Suspensión,1,No,10465.71,6
6,Pintura,C,Ana,1,10111,56-65,Male,Reparación,Severa,Transmisión,5,Yes,2949.79,18
